date;offense;lon;lat
01/01/2018;murder;-95,43739;29,6779
01/05/2018;murder;-95,43944;29,94292
01/05/2018;murder;-95,55906;29,6748
01/06/2018;murder;-95,42732;29,87376
01/06/2018;murder;-95,27493;29,8606
01/07/2018;murder;-95,35073;29,73181
01/07/2018;murder;-95,30509;29,81714
01/08/2018;murder;-95,27785;29,69589
01/09/2018;murder;-95,51367;29,80147
01/10/2018;murder;-95,40401;29,77159
1/15/2018;murder;-95,36702;29,70464
1/17/2018;murder;-95,35784;29,73559
1/18/2018;murder;-95,38581;29,73451
1/18/2018;murder;-95,30201;29,83656
1/22/2018;murder;-95,55045;29,68366
02/02/2018;murder;-95,28531;29,61817
02/02/2018;murder;-95,43855;29,73547
02/03/2018;murder;-95,5469;29,71399
02/04/2018;murder;-95,52638;29,72913
02/04/2018;murder;-95,34411;29,64903
02/04/2018;murder;-95,28016;29,84437
02/04/2018;murder;-95,18011;29,5927
02/05/2018;murder;-95,31912;29,76794
02/05/2018;murder;-95,47391;29,59747
02/06/2018;murder;-95,48499;29,80953
02/07/2018;murder;-95,41379;29,89831
02/09/2018;murder;-95,37461;29,81211
2/13/2018;murder;-95,53905;29,79308
2/13/2018;murder;-95,50524;29,83038
2/13/2018;murder;-95,39615;29,81137
2/14/2018;murder;-95,50332;29,87512
2/21/2018;murder;-95,31303;29,83309
2/21/2018;murder;-95,53401;29,66977
2/22/2018;murder;-95,50434;29,66877
2/27/2018;murder;-95,57468;29,6896
2/27/2018;murder;-95,28597;29,60711
2/27/2018;murder;-95,28371;29,67586
03/03/2018;murder;-95,43184;29,62376
03/04/2018;murder;-95,30768;29,69858
03/06/2018;murder;-95,25886;29,85425
03/07/2018;murder;-95,27797;29,6546
03/08/2018;murder;-95,23954;29,63622
03/09/2018;murder;-95,27527;29,71469
03/11/2018;murder;-95,47978;29,84908
3/15/2018;murder;-95,53408;29,69004
3/16/2018;murder;-95,37481;29,74458
3/21/2018;murder;-95,43944;29,94292
3/22/2018;murder;-95,40083;29,93178
3/26/2018;murder;-95,41918;29,68094
3/27/2018;murder;-95,40659;29,61384
3/31/2018;murder;-95,36189;29,66025
3/31/2018;murder;-95,33808;29,6958
04/01/2018;murder;-95,58109;29,6967
04/08/2018;murder;-95,242;29,70419
04/08/2018;murder;-95,34643;29,6682
