FEATID;n
8583394; 33
8583395;  2
8583396; 27
8583397; 23
8583398; 10
8583399; 11
8583400; 30
8583401; 42
8583402; 62
8583403; 25
8583404; 16
8583405; 51
8583406; 43
8583407; 39
8583408; 38
8583409;171
8583410; 36
8583411;104
8583412; 66
8583413; 67
8583414; 64
8583415; 16
8583416; 61
8583417;134
8583418; 60
8583419; 80
8583420;124
8583421; 59
8583422; 68
8583423; 14
8583424; 45
8583425; 40
8583426; 34
8583427; 37
8583428; 73
8583429; 35
8583430;  8
8583431; 56
8583432; 14
8583433; 36
8583434; 54
8583435; 47
8583436; 25
8583437; 49
8583438; 94
8583439; 23
8583440; 40
8583441; 26
8583442;  5
8583443; 10
8583444; 53
8583445; 44
8583446; 48
8583447; 39
8583448; 14
8583449; 20
8583450; 25
8583451; 67
8583452; 53
8583453; 48
8583454;  9
8583455; 14
8583456; 40
8583457;101
8583458; 39
8583459;128
8583460; 23
8583461; 37
8583462; 88
8583463; 71
8583464; 48
8583465; 42
8583466; 89
8583467; 68
8583468; 38
8583469; 65
8583470;126
8583471; 40
8583472; 44
8583473; 53
8583474; 42
8583475;184
8583476; 91
8583477; 79
8583478; 37
8583479; 15
8583480; 12
8583481; 81
8583482; 47
8583483; 40
8583484; 98
8583485; 52
8583486; 48
8583487; 38
8583488; 23
8583489; 21
NA;  9
